Indication_ID,Indication_Name
695,Freckles
696,Functional diarrhea
697,Functional dyspepsia
698,Functional rehabilitation after cerebrovascular accidents
699,Funduscopy
700,Fungal conjunctivitis
701,Fungal corneal ulcers
702,Fungal eye infections
703,Fungal infections
704,Fungal infections of the mouth Throat and gut
705,Fungal keratitis
706,Fungal otitis externa
707,Fungal skin infections
708,Fungal UTIs
709,Fungating tumours
710,Furuncles
711,Furunculosis
712,Fusobacterium infections
713,Galactorrhea
714,Gangrene
715,Gas gangrene
716,Gastric and duodenal ulceration
717,Gastric bypass surgery
718,Gastric cancer
719,Gastric Hyperacidity
720,Gastric problems
721,Gastric ulcer
722,Gastritis
723,Gastroenteritis
724,Gastro-enteritis with dehydration
725,Gastroesophageal reflux disease (GERD)
726,Gastrointestinal (Gl) bleeding from stress
727,Gastrointestinal disorders
728,Gastrointestinal haemorrhage
729,Gastrointestinal haemorrhage from stress ulceration
730,Gastrointestinal hyperacidity
731,Gastrointestinal stromal tumor
732,Gastrointestinal Stromal Tumors
733,Gastrointestinal tract infections
734,Gastrointestinal tract spasm
735,Gastroparesis
736,General anaesthesia
737,General kidney & heart transplant
738,General weakness
739,Generalized anxiety disorder
740,Generalized tonic-clonic seizures
741,Genital herpes
742,Genital warts
743,Genitourinary spasm
744,Genitourinary tract infections
745,Germ cell tumors
746,Giardiasis
747,Gingivitis
748,Glabellar and lateral Canthal lines (cosmetic purpose)
749,Glaucoma
750,Glaucoma surgery
751,Glioblastoma multiforme
752,Glossitis
753,Gluten enteropathy or sprue
754,Gnathostomiasis
755,Gonococcal urethritis
756,Gonorrhoea
757,Gout
758,Gouty arthritis
759,Gram-positive infection
760,Granuloma inguinale
761,Graves’ disease
762,Graying hair
763,Grazes
764,Group A Streptococcus infections
765,Growth and repair of body tissue; bone; skin; teeth & hair.
766,Growth hormone deficiency
767,Guillain-Barre syndrome
768,Gum disease
769,Gum sore
770,Gum swelling
771,Gynaecomastia
772,Gynecological infections
773,H. pylori infection
774,Habitual abortion
775,Haematuria
776,Haemodialysis
777,Haemophilia A
778,Haemophilus influenzae type b infection
779,Haemoptysis
780,Haemorrhage
781,Haemorrhagic cystitis and haematuria
782,Haemorrhoids (Piles)
783,Hair loss
784,Hairy cell leukaemia
785,Hand and foot eczema
786,Hay fever
787,Head & neck cancer
788,Head injury
789,Head lice
790,Head pediculosis
791,Headache
792,Healthy urinary flow
793,Heart disease
794,Heart failure
795,Heartburn
796,Heartburn & gastritis
797,Helicobacter pylori eradication
798,Helminthiasis
799,Hematological and Oncological Disorders
800,Hemicrania continua
801,Hemodialysis dependent-chronic kidney disease (HDD-CKD) patients receiving an erythropoietin
802,Hemofiltration
803,Hemolytic disease of the newborn
804,Hemophilia
805,Hemophilia A
806,Hemorrhage
807,Heparin overdosage
808,Hepatic amoebiasis
809,Hepatic cirrhosis with ascites and oedema
810,Hepatic encephalopathy
811,Hepatic insufficiency
812,Hepatic transplant rejection
813,Hepatitis A virus
814,Hepatitis B virus
815,Hepatitis C virus related thrombocytopenia
816,Hepatits A
817,Hepatocellular Carcinoma
818,Hepatoprotective and antioxidant activity
819,Hereditary angioedema
820,Hereditary hemorrhagic telangiectasia
821,Herpes labialis
822,Herpes simplex
823,Herpes simplex keratitis
824,Herpes virus infections
825,Herpes zoster (shingles)
826,Herpes zoster keratitis
827,Herpes zoster ophthalmicus
828,Hiccups
829,Hidradenitis
830,High Cholesterol
831,High triglyceride
832,Hirsutism
833,Histiocytic lymphoma
834,Histoplasmosis
835,HIV infection
836,HIV-associated diarrhoea
837,HIV-associated wasting or cachexia
838,Hives
839,HMG CoA reductase inhibitors
840,Hodgkin’s disease
841,Hodgkin’s lymphoma
842,Homozygous familial hypercholesterolemia
843,Hookworm infections
844,Hormone replacement therapy
845,Hot flushes
846,Household Exposure to Persons with Acute HBV Infection
847,Human Papillomavirus infection
848,Hydration
849,Hyperacidity
850,Hyperactivity
851,Hyperactivity disorders
852,Hyperaldosteronism
853,Hypercalcaemia
854,Hypercalcaemia of malignancy
855,Hyperchlorhydria
856,Hypercholesterolaemia
857,Hyperekplexia
858,Hypereosinophilic syndrome
859,Hyperhidrosis
860,Hyperhomocysteinemia
861,Hyperkalaemia
862,Hyperkalemia
863,Hyperkeratosis
864,Hyperkeratotic
865,Hyperkeratotic and scaling skin conditions
866,Hyperlipidaemia
867,Hyperlipidemia
868,Hyperparathyroidism
869,Hyperphosphataemia
870,Hyperphosphataemia in patients with chronic renal failure
871,Hyperpigmentation
872,Hyperprolactinemia
873,hyperpyrexia
874,Hypersecretory conditions
