PackageContainer_ID,Brand_ID,Container_Size,Unit_Price,Container_Type
453,1421,10 gm tube,31.98,Tube
454,1424,1 ml ampoule,120.0,Ampoule
455,1430,20 gm tube,44.0,Tube
456,1431,20 gm tube,48.0,Tube
457,1432,3 gm tube,14.3,Tube
458,1433,5 ml drop,35.0,Drop
459,1434,15 gm tube,45.0,Tube
460,1438,10 gm tube,25.0,Tube
461,1439,10 gm tube,25.0,Tube
462,1441,10 ml drop,65.0,Drop
463,1442,10 gm tube,75.0,Tube
464,1444,200 ml bottle,40.0,Bottle
465,1448,15 ml bottle,30.2,Bottle
466,1449,100 ml bottle,47.6,Bottle
467,1455,10 ml vial,270.0,Vial
468,1459,1 gm vial,190.0,Vial
469,1460,250 mg vial,100.0,Vial
470,1461,500 mg vial,130.0,Vial
471,1462,1 gm vial,190.0,Vial
472,1463,250 mg vial,100.0,Vial
473,1464,2 gm vial,300.0,Vial
474,1465,500 mg vial,130.0,Vial
475,1467,200 ml bottle,90.0,Bottle
476,1468,100 ml bottle,70.0,Bottle
477,1469,300 ml solution,450.0,Solution
478,1470,100 ml bottle,280.0,Bottle
479,1479,1.8 ml cartridge,48.33,Cartridge
480,1481,100 ml bottle,70.0,Bottle
481,1483,100 ml bottle,26.11,Bottle
482,1484,100 ml bottle,35.0,Bottle
483,1492,120 metered doses,595.0,Inhaler
484,1500,1 ml ampoule,30.11,Ampoule
485,1501,1 ml ampoule,55.18,Ampoule
486,1507,2 ml ampoule,40.0,Ampoule
487,1509,500 mg vial,654.41,Vial
488,1510,500 mg vial,650.0,Vial
489,1525,10 ml vial,270.0,Vial
490,1526,50 ml bottle,45.14,Bottle
491,1532,15 ml bottle,35.0,Bottle
492,1533,100 ml bottle,45.0,Bottle
493,1538,10 ml drop,90.0,Drop
494,1539,60 ml bottle,220.0,Bottle
495,1553,2 ml ampoule,23.0,Ampoule
496,1556,100 ml bottle,40.27,Bottle
497,1561,10 ml drop,275.0,Drop
498,1562,10 ml drop,200.0,Drop
499,1564,10 ml drop,220.0,Drop
500,1565,10 ml drop,270.0,Drop
501,1574,100 ml bottle,32.0,Bottle
502,1577,200 ml bottle,26.75,Bottle
503,1578,200 metered doses,450.0,Inhaler
504,1579,200 metered doses,550.0,Inhaler
505,1582,5 ml ampoule,6.0,Ampoule
506,1583,100 ml bottle,33.44,Bottle
507,1584,100 ml bottle,100.0,Bottle
508,1590,40 mg vial,90.27,Vial
