Drug_Class_ID,Drug_Class_Name
341,Preparations for Oral Ulceration & Inflammation
342,Prevention of repeated kidney stone formation
343,Primary anti-epileptic drugs
344,Prokinetic drugs
345,Prostaglandin analogues
346,Protein kinase inhibitor
347,Proton Pump Inhibitor
348,Pulmonary surfactants
349,Purified Soybean Oil
350,Pyrrolopyrimidines
351,Rapid Acting Insulin
352,Regional anesthesia
353,Respiratory corticosteroids
354,Respiratory stimulants: analeptics
355,Respiratory viral infections (Influenza)
356,Salmon Calcitonin
357,Second generation Cephalosporins
358,Sedating Anti-histamine
359,Selective vasopressin V2-receptor antagonist
360,Serotonin-norepinephrine reuptake inhibitor (SNRI)
361,Short Acting Insulin
362,Short-acting selective & Î²2-adrenoceptor stimulants
363,Silymarin
364,Sodium-glucose Cotransporter-2 (SGLT2) Inhibitors
365,Specific combined vitamin preparations
366,Specific mineral & vitamin combined preparations
367,Specific mineral preparations
368,SSRIs & related anti-depressant drugs
369,Statins
370,Stimulant purgatives
371,Stimulation of Cartilage formation
372,Stimulator of soluble guanylate cyclase
373,Stool softener
374,Sulfonylureas
375,Sulphonamides & Trimethoprim
376,Sunblock Preparation
377,Supplements & adjuvant therapy
378,Supportive Care Therapy
379,Synthetic analogue of ADH
380,Systemic Urinary Anti- infective
381,Targeted Cancer Therapy
382,Tetracycline group of drugs
383,Theophylline & related drugs
384,Thiazide diuretics & related drugs
385,Thiazolidinedione Group
386,Third generation Cephalosporins
387,Thyroid drugs & hormone
388,Topical Analgesics
389,Topical antibiotic & retinoid preparations
390,Topical Antibiotic preparations
391,Topical antibiotics for Acne
392,Topical Antifungal preparations
393,Topical Antihistamines
394,Topical anti-inflammatory preparations
395,Topical Antiviral preparations
396,Topical Local Anesthetics
397,Topical retinoid and related preparations
398,Topical salicylic preparation
399,Topical urea preparations
400,Topical Vitamin D & related preparations
401,Triamcinolone & Combined preparations
402,Tricyclic & related anti-depressant drugs
403,Tricyclic Anti-depressant
404,Trophic Hormones & Related Synthetic Drugs
405,Tyrosine Kinase Inhibitor
406,Ulcer protective
407,Ulcerative Colitis
408,Urinary Alkalinizing Agent
409,Vaccines; Anti-sera & Immunoglobulin
410,Vaso Protective
411,Vasoconstrictor/Venotonic
412,Vasodilator antihypertensive drugs
413,Vitamin in bone formation
414,Vitamin-A preparations
415,Vitamin-B preparations
416,Vitamin-C Preparations
417,Vitamin-D preparations
418,Vitamin-E Preparations
419,Vitamin-K Preparations
420,Water purifying agent
421,Zinc & Combined preparations
